"alti","nom"
"0","Tabiteuea_South_Airport"
"0","Tacheng_Airport"
"0","Tamana_Island_Airport"
"0","The_Granites_Airport"
"0","Ti_Tree_Airport"
"0","Tilpa_Airport"
"0","Tongren_Fenghuang_Airport"
"0","Torgau-Beilrode_Airport"
"0","Tunxi_International_Airport"
"0","Turtle_Island_Seaplane_Base"
"0","Ulaangom_Airport"
"0","Ulanhot_Airport"
"0","Ulanqab_Jining_Airport"
"0","Umuwa_Airport"
"0","Unst_Airport"
"0","Uru_Harbour_Airport"
"0","Urzhar_Airport"
"0","Utopia_Airport"
"0","Vancouver_Harbour_Water_Aerodrome"
"0","Vancouver_International_Seaplane_Base"
"0","Vangso_Airport"
"0","Victoria_Airport"
"0","Victoria_Harbour_Seaplane_Base"
"0","Wanxian_Airport"
"0","Weifang_Airport"
"0","Wenzhou_Longwan_International_Airport"
"0","Wuhu_Air_Base"
"0","Xewkija_Heliport"
"0","Xi'an_Xiguan_Airport"
"0","Xiangyang_Liuji_Airport"
"0","Xilinhot_Airport"
"0","Xuzhou_Guanyin_Airport"
"0","Yalata_Mission_Airport"
"0","Yam_Island_Airport"
"0","Yancheng_Airport"
"0","Yinchuan_Airport"
"0","Yingkou_Lanqi_Airport"
"0","Yining_Airport"
"0","Yulin_Yuyang_Airport"
"0","Zermatt__Heliport"
"0","Zhaotong_Airport"
"0","Zhytomyr_Airport"
"0","[Duplicate]_Illertissen_see_EDMI_-_ED-0425_location_moved_out-of-the_way"
"0","Adamovka"
"0","Kvarkeno"
"-11","Amsterdam_Airport_Schiphol"
"-65","Astrakhan_Airport"
"-72","Atyrau_Airport"
"-1266","Bar_Yehuda_Airfield"
"-164","Ein_Yahav_Airfield"
"-42","El_Centro_NAF_Airport_(Vraciu_Field)"
"-24","Gorgan_Airport"
"-54","Imperial_County_Airport"
"-115","Jacqueline_Cochran_Regional_Airport"
"-13","Lelystad_Airport"
"-175.632995605","Mata'aho_Airport"
"10.785439","Moss_Airport"
"-61","Noshahr_Airport"
"-91.9356","Pine_Bluff_Regional_Airport"
"-23.49349975585937","Praia_International_Airport"
"-66","Privolzhskiy_Air_Base"
"-70","Ramsar_Airport"
"-1.01065635681","Robin_Hood_Doncaster_Sheffield_Airport"
"-15","Rotterdam_The_Hague_Airport"
"10.258600235","Sandefjord_Airport"
"-24.479999542199998","Sao_Filipe_Airport"
"-40","Sardar-e-Jangal_Airport"
"-87.307602","Terre_Haute_Regional_Airport"
"10.617199897766113","Oslo"
